Loading: 
Loading: 0 packages loaded
Analyzing: target //:run_search_experiment (0 packages loaded, 0 targets configured)
INFO: Analyzed target //:run_search_experiment (0 packages loaded, 0 targets configured).
INFO: Found 1 target...
[0 / 1] [Prepa] BazelWorkspaceStatusAction stable-status.txt
Target //:run_search_experiment up-to-date:
  bazel-bin/run_search_experiment
INFO: Elapsed time: 0.144s, Critical Path: 0.00s
INFO: 0 processes.
INFO: Build completed successfully, 1 total action
INFO: Running command line: bazel-bin/run_search_experiment '--search_experiment_spec=     search_tasks {       tasks {         projected_binary_classification_task {           dataset_name: '\''logic_multiply'\''           path: '\''/home/ubuntu/codes/google-research/automl_zero/binary_logic_data/'\''           held_out_pairs {positive_class: 0 negative_class: 1}           max_supported_data_seed: 1         }         features_size: 2         num_train_examples: 93         num_valid_examples: 14         num_train_epochs: 1         num_tasks: 10         eval_type: ACCURACY       }     }     setup_ops: [SCALAR_PRODUCT_OP, VECTOR_MEAN_OP]     predict_ops: [SCALAR_PRODUCT_OP, VECTOR_MEAN_OP]     learn_ops: [SCALAR_PRODUCT_OP, VECTOR_MEAN_OP]     setup_size_init: 1     mutate_setup_size_min: 1     mutate_setup_size_max: 34     predict_size_init: 1     mutate_predict_size_min: 1     mutate_predict_size_max: 233     learn_size_init: 1     mutate_learn_size_min: 1     mutate_learn_size_max: 377     train_budget {train_budget_baseline: NEURAL_NET_ALGORITHM}     fitness_combination_mode: MEAN_FITNESS_COMBINATION     population_size: 1000     tournament_size: 100     initial_population: NO_OP_ALGORITHM     max_train_steps: 100000000000     allowed_mutation_types {
      mutation_types: [RANDOMIZE_COMPONENT_FUNCTION_MUTATION_TYPE, INSERT_INSTRUCTION_MUTATION_TYPE, REMOVE_INSTRUCTION_MUTATION_TYPE]     }     mutate_prob: 0.9     progress_every: 10000     ' '--final_tasks=
    tasks {       projected_binary_classification_task {         dataset_name: '\''logic_multiply'\''         path: '\''/home/ubuntu/codes/google-research/automl_zero/binary_logic_data/'\''         held_out_pairs {positive_class: 0 negative_class: 1}         max_supported_data_seed: 1       }       features_size: 2       num_train_examples: 93       num_valid_examples: 14       num_train_epochs: 1       num_tasks: 100       eval_type: ACCURACY     }     ' '--random_seed=2081894615' '--select_tasks=
    tasks {       projected_binary_classification_task {         dataset_name: '\''logic_multiply'\''         path: '\''/home/ubuntu/codes/google-research/automl_zero/binary_logic_data/'\''         held_out_pairs {positive_class: 0 negative_class: 1}         max_supported_data_seed: 1       }       features_size: 2       num_train_examples: 93       num_valid_examples: 14       num_train_epochs: 1       num_tasks: 10       eval_type: ACCURACY     }     '
INFO: Build completed successfully, 1 total action
Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=1000, elapsed_secs=0, mean=0.857143, stdev=0.000000, best fit=0.857143,
indivs=321000, elapsed_secs=19, mean=0.846429, stdev=0.086823, best fit=0.857143,
indivs=331000, elapsed_secs=20, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=341000, elapsed_secs=21, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=351000, elapsed_secs=22, mean=0.847500, stdev=0.081653, best fit=0.857143,
indivs=361000, elapsed_secs=22, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=371000, elapsed_secs=23, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=381000, elapsed_secs=24, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=391000, elapsed_secs=24, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=401000, elapsed_secs=25, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=411000, elapsed_secs=26, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=421000, elapsed_secs=26, mean=0.849643, stdev=0.071926, best fit=0.857143,
indivs=431000, elapsed_secs=27, mean=0.844571, stdev=0.099001, best fit=0.857143,
indivs=441000, elapsed_secs=28, mean=0.849571, stdev=0.075619, best fit=0.857143,
indivs=451000, elapsed_secs=28, mean=0.849571, stdev=0.075619, best fit=0.857143,
indivs=461000, elapsed_secs=29, mean=0.844143, stdev=0.096121, best fit=0.857143,
indivs=471000, elapsed_secs=30, mean=0.851071, stdev=0.064594, best fit=0.857143,
indivs=481000, elapsed_secs=30, mean=0.849143, stdev=0.075979, best fit=0.857143,
indivs=491000, elapsed_secs=31, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=501000, elapsed_secs=32, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=511000, elapsed_secs=32, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=521000, elapsed_secs=33, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=531000, elapsed_secs=33, mean=0.849643, stdev=0.071926, best fit=0.857143,
indivs=541000, elapsed_secs=34, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=551000, elapsed_secs=35, mean=0.851071, stdev=0.064594, best fit=0.857143,
indivs=561000, elapsed_secs=35, mean=0.851071, stdev=0.064594, best fit=0.857143,
indivs=571000, elapsed_secs=36, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=581000, elapsed_secs=36, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=591000, elapsed_secs=37, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=601000, elapsed_secs=38, mean=0.852500, stdev=0.056278, best fit=0.857143,
indivs=611000, elapsed_secs=38, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=621000, elapsed_secs=39, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=631000, elapsed_secs=39, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=641000, elapsed_secs=40, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=651000, elapsed_secs=41, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=661000, elapsed_secs=41, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=671000, elapsed_secs=42, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=681000, elapsed_secs=43, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=691000, elapsed_secs=43, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=701000, elapsed_secs=44, mean=0.853571, stdev=0.050381, best fit=0.857143,
indivs=711000, elapsed_secs=44, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=721000, elapsed_secs=45, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=731000, elapsed_secs=46, mean=0.845714, stdev=0.089625, best fit=0.857143,
indivs=741000, elapsed_secs=46, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=751000, elapsed_secs=47, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=761000, elapsed_secs=48, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=771000, elapsed_secs=48, mean=0.848929, stdev=0.075315, best fit=0.857143,
indivs=781000, elapsed_secs=49, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=791000, elapsed_secs=50, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=801000, elapsed_secs=50, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=811000, elapsed_secs=51, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=821000, elapsed_secs=52, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=831000, elapsed_secs=52, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=841000, elapsed_secs=53, mean=0.853571, stdev=0.050381, best fit=0.857143,
indivs=851000, elapsed_secs=53, mean=0.851071, stdev=0.064594, best fit=0.857143,
indivs=861000, elapsed_secs=54, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=871000, elapsed_secs=55, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=881000, elapsed_secs=55, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=891000, elapsed_secs=56, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=901000, elapsed_secs=57, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=911000, elapsed_secs=57, mean=0.852500, stdev=0.056278, best fit=0.857143,
indivs=921000, elapsed_secs=58, mean=0.850357, stdev=0.068362, best fit=0.857143,
indivs=931000, elapsed_secs=59, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=941000, elapsed_secs=60, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=951000, elapsed_secs=60, mean=0.848214, stdev=0.078551, best fit=0.857143,
indivs=961000, elapsed_secs=61, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=971000, elapsed_secs=62, mean=0.853571, stdev=0.050381, best fit=0.857143,
indivs=981000, elapsed_secs=62, mean=0.848929, stdev=0.075315, best fit=0.857143,
indivs=991000, elapsed_secs=63, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1001000, elapsed_secs=63, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=1011000, elapsed_secs=64, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=1021000, elapsed_secs=65, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=1031000, elapsed_secs=65, mean=0.851071, stdev=0.064594, best fit=0.857143,
indivs=1041000, elapsed_secs=66, mean=0.849643, stdev=0.071926, best fit=0.857143,
indivs=1051000, elapsed_secs=67, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1061000, elapsed_secs=67, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1071000, elapsed_secs=68, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1081000, elapsed_secs=68, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1091000, elapsed_secs=69, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=1101000, elapsed_secs=70, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1111000, elapsed_secs=70, mean=0.847857, stdev=0.080910, best fit=0.857143,
indivs=1121000, elapsed_secs=71, mean=0.847857, stdev=0.080910, best fit=0.857143,
indivs=1131000, elapsed_secs=72, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1141000, elapsed_secs=72, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1151000, elapsed_secs=73, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=1161000, elapsed_secs=74, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=1171000, elapsed_secs=74, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1181000, elapsed_secs=75, mean=0.849643, stdev=0.071926, best fit=0.857143,
indivs=1191000, elapsed_secs=75, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1201000, elapsed_secs=76, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1211000, elapsed_secs=77, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1221000, elapsed_secs=77, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=1231000, elapsed_secs=78, mean=0.851071, stdev=0.064594, best fit=0.857143,
indivs=1241000, elapsed_secs=79, mean=0.846429, stdev=0.086823, best fit=0.857143,
indivs=1251000, elapsed_secs=79, mean=0.845000, stdev=0.092336, best fit=0.857143,
indivs=1261000, elapsed_secs=80, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1271000, elapsed_secs=81, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=1281000, elapsed_secs=81, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1291000, elapsed_secs=82, mean=0.850429, stdev=0.070681, best fit=0.857143,
indivs=1301000, elapsed_secs=83, mean=0.853214, stdev=0.051606, best fit=0.857143,
indivs=1311000, elapsed_secs=83, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1321000, elapsed_secs=84, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1331000, elapsed_secs=84, mean=0.856071, stdev=0.025231, best fit=0.857143,
indivs=1341000, elapsed_secs=85, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1351000, elapsed_secs=85, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1361000, elapsed_secs=86, mean=0.848214, stdev=0.078551, best fit=0.857143,
indivs=1371000, elapsed_secs=87, mean=0.855000, stdev=0.039064, best fit=0.857143,
indivs=1381000, elapsed_secs=87, mean=0.852500, stdev=0.056278, best fit=0.857143,
indivs=1391000, elapsed_secs=88, mean=0.842857, stdev=0.100000, best fit=0.857143,
indivs=1401000, elapsed_secs=88, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1411000, elapsed_secs=89, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1421000, elapsed_secs=90, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=1431000, elapsed_secs=90, mean=0.845000, stdev=0.092336, best fit=0.857143,
indivs=1441000, elapsed_secs=91, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=1451000, elapsed_secs=91, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=1461000, elapsed_secs=92, mean=0.853214, stdev=0.051606, best fit=0.857143,
indivs=1471000, elapsed_secs=93, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=1481000, elapsed_secs=93, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1491000, elapsed_secs=94, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=1501000, elapsed_secs=94, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1511000, elapsed_secs=95, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1521000, elapsed_secs=96, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1531000, elapsed_secs=96, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1541000, elapsed_secs=97, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1551000, elapsed_secs=97, mean=0.849643, stdev=0.071926, best fit=0.857143,
indivs=1561000, elapsed_secs=98, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=1571000, elapsed_secs=99, mean=0.850357, stdev=0.068362, best fit=0.857143,
indivs=1581000, elapsed_secs=99, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1591000, elapsed_secs=100, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=1601000, elapsed_secs=101, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1611000, elapsed_secs=101, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1621000, elapsed_secs=102, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1631000, elapsed_secs=102, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=1641000, elapsed_secs=103, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1651000, elapsed_secs=104, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=1661000, elapsed_secs=104, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1671000, elapsed_secs=105, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1681000, elapsed_secs=106, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1691000, elapsed_secs=106, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=1701000, elapsed_secs=107, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=1711000, elapsed_secs=108, mean=0.842143, stdev=0.102417, best fit=0.857143,
indivs=1721000, elapsed_secs=109, mean=0.846429, stdev=0.086823, best fit=0.857143,
indivs=1731000, elapsed_secs=109, mean=0.846071, stdev=0.087510, best fit=0.857143,
indivs=1741000, elapsed_secs=110, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=1751000, elapsed_secs=111, mean=0.845714, stdev=0.089625, best fit=0.857143,
indivs=1761000, elapsed_secs=112, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=1771000, elapsed_secs=113, mean=0.849857, stdev=0.072619, best fit=0.857143,
indivs=1781000, elapsed_secs=114, mean=0.843571, stdev=0.097518, best fit=0.857143,
indivs=1791000, elapsed_secs=114, mean=0.853571, stdev=0.050381, best fit=0.857143,
indivs=1801000, elapsed_secs=115, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1811000, elapsed_secs=116, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1821000, elapsed_secs=117, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=1831000, elapsed_secs=117, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=1841000, elapsed_secs=118, mean=0.852500, stdev=0.056278, best fit=0.857143,
indivs=1851000, elapsed_secs=119, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1861000, elapsed_secs=119, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1871000, elapsed_secs=120, mean=0.849643, stdev=0.071926, best fit=0.857143,
indivs=1881000, elapsed_secs=121, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=1891000, elapsed_secs=122, mean=0.846429, stdev=0.086823, best fit=0.857143,
indivs=1901000, elapsed_secs=122, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=1911000, elapsed_secs=123, mean=0.849643, stdev=0.071926, best fit=0.857143,
indivs=1921000, elapsed_secs=124, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=1931000, elapsed_secs=124, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1941000, elapsed_secs=125, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=1951000, elapsed_secs=125, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1961000, elapsed_secs=126, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=1971000, elapsed_secs=126, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=1981000, elapsed_secs=127, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=1991000, elapsed_secs=128, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=2001000, elapsed_secs=128, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=2011000, elapsed_secs=129, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=2021000, elapsed_secs=129, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=2031000, elapsed_secs=130, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=2041000, elapsed_secs=131, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=2051000, elapsed_secs=131, mean=0.851429, stdev=0.061594, best fit=0.857143,
indivs=2061000, elapsed_secs=132, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=2071000, elapsed_secs=132, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=2081000, elapsed_secs=133, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=2091000, elapsed_secs=134, mean=0.855000, stdev=0.039064, best fit=0.857143,
indivs=2101000, elapsed_secs=134, mean=0.853214, stdev=0.051606, best fit=0.857143,
indivs=2111000, elapsed_secs=135, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=2121000, elapsed_secs=135, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=2131000, elapsed_secs=136, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=2141000, elapsed_secs=137, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=2151000, elapsed_secs=137, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=2161000, elapsed_secs=138, mean=0.851786, stdev=0.060583, best fit=0.857143,
indivs=2171000, elapsed_secs=139, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=2181000, elapsed_secs=139, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=2191000, elapsed_secs=140, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=2201000, elapsed_secs=140, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=2211000, elapsed_secs=141, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=2221000, elapsed_secs=142, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=2231000, elapsed_secs=142, mean=0.853214, stdev=0.051606, best fit=0.857143,
indivs=2241000, elapsed_secs=143, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=2251000, elapsed_secs=144, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=2261000, elapsed_secs=144, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=2271000, elapsed_secs=145, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=2281000, elapsed_secs=145, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=2291000, elapsed_secs=146, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=2301000, elapsed_secs=147, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=2311000, elapsed_secs=147, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=2321000, elapsed_secs=148, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=2331000, elapsed_secs=148, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=2341000, elapsed_secs=149, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=2351000, elapsed_secs=149, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=2361000, elapsed_secs=150, mean=0.844286, stdev=0.094965, best fit=0.857143,
indivs=2371000, elapsed_secs=151, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=2381000, elapsed_secs=151, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=2391000, elapsed_secs=152, mean=0.849286, stdev=0.074502, best fit=0.857143,
indivs=2401000, elapsed_secs=153, mean=0.853571, stdev=0.050381, best fit=0.857143,
indivs=2411000, elapsed_secs=153, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=2421000, elapsed_secs=154, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=2431000, elapsed_secs=154, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=2441000, elapsed_secs=155, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=2451000, elapsed_secs=156, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=2461000, elapsed_secs=156, mean=0.847857, stdev=0.080910, best fit=0.857143,
indivs=2471000, elapsed_secs=157, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=2481000, elapsed_secs=158, mean=0.853571, stdev=0.050381, best fit=0.857143,
indivs=2491000, elapsed_secs=158, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=2501000, elapsed_secs=159, mean=0.845714, stdev=0.089625, best fit=0.857143,
indivs=2511000, elapsed_secs=160, mean=0.850357, stdev=0.068362, best fit=0.857143,
